reporter_country_code,reporter_country,fbs_item_code,fbs_item,Domestic supply quantity,Export Quantity,Import Quantity,Production,Stock Variation,new_domestic,d,E_re,E_dom
2,Africa,2542,Sugar (Raw Equivalent),20588000,5164000,14664000,11493000,406000,20587000,-9500000,1,0
2,Africa,2543,"Sweeteners, Other",6693000,1348000,1686000,6669000,314000,6693000,-338000,1,0
2,Africa,2546,Beans,6572000,527000,326000,7196000,424000,6571000,201000,0.618595825,0.381404175
2,Africa,2547,Peas,836000,73000,383000,576000,50000,836000,-310000,1,0
2,Africa,2549,"Pulses, Other and products",13441000,669000,1146000,13977000,1012000,13442000,-477000,1,0
2,Africa,2551,Nuts and products,1297000,2039000,408000,3003000,75000,1297000,1631000,0.20009808729769496,0.799901913
2,Africa,2552,Groundnuts,16470000,1169000,396000,17497000,253000,16471000,773000,0.33875106928999144,0.6612489307100086
2,Africa,2555,Soyabeans,9528000,322000,5678000,3983000,-189000,9528000,-5356000,1,0
2,Africa,2557,Sunflower seed,2656000,13000,145000,2475000,-48000,2655000,-132000,1,0
2,Africa,2558,Rape and Mustardseed,275000,9000,53000,210000,-21000,275000,-44000,1,0
2,Africa,2559,Cottonseed,2629000,421000,290000,2788000,28000,2629000,131000,0.6888361045130641,0.3111638954869359
2,Africa,2560,Coconuts - Incl Copra,2009000,91000,164000,1958000,22000,2009000,-73000,1,0
2,Africa,2561,Sesame seed,2620000,1510000,100000,4375000,346000,2619000,1410000,0.066225166,0.9337748344370861
2,Africa,2562,Palm kernels,23863000,62000,63000,24436000,575000,23862000,-1000,1,0
2,Africa,2563,Olives (including preserved),5506000,168000,23000,5631000,-20000,5506000,145000,0.13690476190476192,0.8630952380952381
2,Africa,2570,"Oilcrops, Other",2320000,396000,174000,2548000,6000,2320000,222000,0.4393939393939394,0.5606060606060606
2,Africa,2571,Soyabean Oil,3560000,366000,2573000,1421000,68000,3560000,-2207000,1,0
2,Africa,2572,Groundnut Oil,1406000,46000,6000,1467000,20000,1407000,40000,0.13043478260869565,0.8695652173913043
2,Africa,2573,Sunflowerseed Oil,1943000,168000,1440000,763000,93000,1942000,-1272000,1,0
2,Africa,2574,Rape and Mustard Oil,72000,0,18000,59000,4000,73000,-18000,NA,NA
2,Africa,2575,Cottonseed Oil,286000,25000,22000,311000,23000,285000,3000,0.88,0.12
2,Africa,2576,Palmkernel Oil,392000,39000,68000,365000,2000,392000,-29000,1,0
2,Africa,2577,Palm Oil,10020000,954000,8031000,3126000,184000,10019000,-7077000,1,0
2,Africa,2578,Coconut Oil,105000,14000,29000,94000,4000,105000,-15000,1,0
2,Africa,2579,Sesameseed Oil,203000,7000,1000,202000,-7000,203000,6000,0.14285714285714285,0.8571428571428572
